seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
796,768,296,5222,127833,768,1
797,768,278,5037,126611,768,1
798,768,278,5000,127167,768,1
799,768,278,4963,126741,768,1
800,768,278,5166,127389,768,1
801,768,278,5093,126963,768,1
802,768,277,5000,127000,768,1
803,768,278,4963,126593,768,1
804,768,278,5000,129445,768,1
805,768,296,5444,128185,768,1
806,768,296,5185,127851,768,1
807,768,278,5074,128000,768,1
808,768,278,5111,128000,768,1
809,768,277,5111,129685,768,1
810,768,278,5129,127796,768,1
811,768,278,5129,128203,768,1
812,768,278,5111,128129,768,1
813,768,278,5148,127815,768,1
814,768,278,5111,128371,768,1
815,768,277,5130,127889,768,1
816,768,277,5278,127926,768,1
817,768,278,5204,128000,768,1
818,768,278,5111,127944,768,1
819,768,278,5111,127981,768,1
820,768,278,5111,127703,768,1
821,768,296,5944,133408,768,1
822,768,296,8834,133259,768,1
823,768,278,5556,128389,768,1
824,768,278,5129,127888,768,1
825,768,278,5148,128370,768,1
826,768,278,5130,128852,768,1
827,768,278,5111,127908,768,1
828,768,277,5111,128370,768,1
829,768,278,5093,127852,768,1
830,768,278,5130,127889,768,1
831,768,278,5111,127889,768,1
832,768,259,5260,128185,768,1
833,768,278,5092,127833,768,1
834,768,277,5093,127445,768,1
835,768,278,5056,128371,768,1
836,768,278,5445,127833,768,1
837,768,278,5092,127963,768,1
838,768,278,5093,127796,768,1
839,768,277,5204,128240,768,1
840,768,278,5056,127685,768,1
841,768,278,5074,128129,768,1
842,768,278,5111,127685,768,1
843,768,278,5037,128556,768,1
844,768,278,5185,128556,768,1
845,768,277,5074,128000,768,1
846,768,297,5111,127907,768,1
847,768,278,5148,127630,768,1
848,768,278,5222,127926,768,1
849,768,278,5111,127963,768,1
850,768,278,5074,127722,768,1
851,768,277,5056,128240,768,1
852,768,278,5148,127945,768,1
853,768,260,5074,127982,768,1
854,768,277,5093,127815,768,1
855,768,259,5092,127796,768,1
856,768,277,5075,127981,768,1
857,768,278,5204,127796,768,1
858,768,259,5093,127685,768,1
859,768,278,5074,128019,768,1
860,768,278,5092,128852,768,1
